,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
1372,flat,Signature Global Solera3.7,0.355,6489.945155393053,547.0,Carpet area: 547 (50.82 sq.m.),2.0,2.0,2,8.0,North-West,sector 107,,,,,,relatively new,0.0,,,547.021398,69.0,273.5
1373,flat,Signature Global Solera3.7,0.51,7906.976744186047,645.0,Carpet area: 645 (59.92 sq.m.),3.0,2.0,2,9.0,South,sector 107,0.0,0.0,0.0,1.0,0.0,relatively new,0.0,,,644.972888,22.0,215.0
1374,flat,Signature Global Solera3.7,0.35,6398.53747714808,547.0,Carpet area: 547 (50.82 sq.m.),2.0,2.0,2,8.0,South,sector 107,,,,,,relatively new,0.0,,,547.021398,69.0,273.5
1375,flat,Signature Global Solera3.7,0.285,5828.220858895705,489.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,11.0,South,sector 107,,,,,,relatively new,0.0,,,489.003977,69.0,244.5
1376,flat,Signature Global Solera3.7,0.36,6581.352833638026,547.0,Carpet area: 547 (50.82 sq.m.),2.0,2.0,2,8.0,South-East,sector 107,,,,,,relatively new,0.0,,,547.021398,69.0,273.5
1384,flat,Tulip Lemon3.9,0.62,12863.070539419086,482.0,Carpet area: 482 (44.78 sq.m.),2.0,2.0,1,4.0,North-East,sector 69,,,,,,relatively new,1.0,,,482.007442,163.0,241.0
1431,flat,Conscient Habitat3.6,0.271,5599.173553719008,484.0,Carpet area: 484 (44.97 sq.m.),2.0,2.0,1,8.0,South-West,sector 99a,0.0,0.0,0.0,1.0,0.0,relatively new,0.0,,,484.052583,56.0,242.0
1432,flat,Prime Habitat,0.261,4745.454545454545,550.0,Carpet area: 550 (51.1 sq.m.),2.0,2.0,1,6.0,North-East,sector 99a,0.0,0.0,0.0,1.0,0.0,relatively new,0.0,,,550.03529,110.0,275.0
1469,flat,Pivotal Devaan,0.365,7588.357588357589,481.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2.0,2.0,1,9.0,West,sector 84,0.0,0.0,0.0,0.0,1.0,relatively new,2.0,583.0,,481.0,102.0,240.5
1470,flat,Pivotal Devaan,0.34,7039.337474120084,483.0,Carpet area: 483 (44.87 sq.m.),2.0,2.0,1,1.0,East,sector 84,0.0,0.0,0.0,0.0,1.0,relatively new,1.0,,,482.976193,123.0,241.5
1471,flat,Pivotal Devaan,0.34,5831.903945111493,583.0,Super Built up area 583(54.16 sq.m.)Carpet area: 484 sq.ft. (44.97 sq.m.),2.0,2.0,1,3.0,East,sector 84,0.0,0.0,0.0,0.0,1.0,relatively new,0.0,583.0,,484.0,114.0,291.5
1472,flat,Pivotal Devaan,0.35,7276.507276507276,481.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2.0,2.0,1,10.0,West,sector 84,0.0,0.0,0.0,0.0,1.0,relatively new,0.0,583.0,,481.0,125.0,240.5
1533,flat,ROF Ananda,0.37,5745.341614906833,644.0,Carpet area: 644.12 (59.84 sq.m.),3.0,2.0,1,6.0,South-East,sector 95,0.0,0.0,1.0,0.0,0.0,relatively new,1.0,,,644.111776,96.0,214.66666666666666
