,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
1019,flat,Sare Homes,1.18,5207.413945278023,2266.0,Carpet area: 2266 (210.52 sq.m.),0.0,4.0,3,8.0,North,sector 92,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,,,2266.016228,149.0,inf
1020,flat,Sare Homes,0.8,5252.790544977019,1523.0,Carpet area: 1523 (141.49 sq.m.),0.0,3.0,3,7.0,North-West,sector 92,1.0,0.0,0.0,0.0,0.0,relatively new,1.0,,,1522.984211,112.0,inf
1021,flat,Vatika Gurgaon 213.7,1.42,8875.0,1600.0,Super Built up area 2390(222.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1.0,4.0,3,7.0,South-West,sector 83,1.0,1.0,0.0,0.0,0.0,relatively new,0.0,2390.0,2000.0,1600.0,150.0,1600.0
1022,flat,M3M Golfestate4.4,5.0,16666.666666666668,3000.0,Super Built up area 3246(301.56 sq.m.)Built Up area: 3245 sq.ft. (301.47 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),2.0,3.0,3,2.0,East,sector 65,0.0,1.0,0.0,0.0,0.0,relatively new,1.0,3246.0,3245.0,3000.0,237.0,1500.0
1023,flat,DLF The Skycourt4.2,1.72,8916.537065837221,1929.0,Super Built up area 1929(179.21 sq.m.),0.0,3.0,1,8.0,North,sector 86,0.0,0.0,0.0,1.0,0.0,relatively new,1.0,1929.0,,,56.0,inf
1024,flat,Emaar Emerald Hills4.1,1.95,13928.57142857143,1400.0,Carpet area: 1400 (130.06 sq.m.),3.0,3.0,3+,1.0,North-East,sector 65,0.0,0.0,0.0,0.0,1.0,new,2.0,,,1399.952834,165.0,466.6666666666667
1025,flat,Mapsko Paradise3.9,0.75,5597.014925373134,1340.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),0.0,3.0,3,10.0,North,sector 83,0.0,0.0,0.0,1.0,0.0,new,1.0,1340.0,,1000.0,56.0,inf
1026,flat,BPTP Terra3.8,1.72,7850.296668188042,2191.0,Super Built up area 2191(203.55 sq.m.),0.0,3.0,3+,10.0,South-East,sector 37d,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,2191.0,,,44.0,inf
1027,flat,Adani M2K Oyster Grande3.9,2.5,7817.385866166354,3198.0,Super Built up area 3198(297.1 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),0.0,5.0,3+,10.0,North-East,sector 102,0.0,1.0,1.0,0.0,0.0,relatively new,1.0,3198.0,2600.0,2350.0,245.0,inf
1028,flat,Emaar Imperial Gardens3.8,1.7,8395.061728395061,2025.0,Super Built up area 2025(188.13 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),0.0,4.0,3+,8.0,North-East,sector 102,0.0,1.0,1.0,0.0,0.0,relatively new,1.0,2025.0,1750.0,1600.0,245.0,inf
