property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score
house,,0.92,15257.0,603.0,Built Up area: 603 (56.02 sq.m.),4.0,1.0,No,1.0,,sector 3,,,,,,,0,,602.993678,,0
house,Surendra Homes Dayanand Colony,0.75,15625.0,480.0,Built Up area: 480 (44.59 sq.m.),4.0,4.0,2,1.0,,sector 6,,,,,,,0,,479.962301,,0
house,,4.25,17955.0,2367.0,Built Up area: 2367 (219.9 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4.0,3.0,2,1.0,North-East,sector 10a,,,,,,,0,,2366.98161,1800,0
house,,0.37,7916.0,467.0,Built Up area: 480 (44.59 sq.m.),1.0,1.0,1,1.0,,sector 3,,,,,,relatively new,0,,479.962301,,0
house,DLF The Grove,5.7,211111.0,270.0,Built Up area: 270 (25.08 sq.m.),4.0,4.0,No,1.0,,sector 54,,,,,,,0,,269.95861199999996,,0
house,,2.1,35000.0,600.0,Carpet area: 600 (55.74 sq.m.),3.0,2.0,1,3.0,,sector 70a,,,,,,new,0,,,599.979786,0
house,Vipul Tatvam Villa,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4.0,6.0,3,3.0,North,sector 48,0.0,1.0,1.0,1.0,0.0,old,0,,3240.0,,58
house,Ansal API Esencia3.7 ★,1.85,74000.0,250.0,Carpet area: 250 (23.23 sq.m.),3.0,3.0,3,1.0,,sector 67,,,,,,,0,,,250.045397,0
house,Anant Raj Estates,8.5,27139.0,3132.0,Plot area 348(290.97 sq.m.),6.0,6.0,3+,3.0,East,sector 63a,0.0,0.0,1.0,0.0,1.0,new,0,,3132.0,,29
house,,4.65,17574.0,2646.0,Plot area 294(245.82 sq.m.),5.0,5.0,3+,1.0,,sector 53,,,,,,moderately old,1,,2646.0,,0
house,Hero Homes,1.95,21195.0,920.0,Plot area 920(85.47 sq.m.),3.0,5.0,3+,2.0,,sector 104,,,,,,moderately old,0,,920.0,,0
house,International City by Sobha Phase 1,6.1,25103.0,2430.0,Plot area 270(225.75 sq.m.),5.0,6.0,3+,2.0,,sector 109,0.0,1.0,0.0,0.0,0.0,moderately old,0,,2430.0,,36
house,Smart World Gems,1.25,8784.0,1423.0,Built Up area: 1423 (132.2 sq.m.),3.0,3.0,2,1.0,,sector 89,1.0,0.0,0.0,1.0,0.0,new,0,,1422.9875799999998,,0
house,,0.68,3874.0,1755.0,Built Up area: 1755 (163.04 sq.m.),5.0,3.0,No,1.0,,sector 3,,,,,,,0,,1754.946256,,0
house,Bhim Garh Kheri,1.5,7576.0,1980.0,Plot area 220(183.95 sq.m.),7.0,2.0,No,1.0,,sector 3,,,,,,,0,,1980.0,,0
house,Sector 14 RWA,6.5,20635.0,3150.0,Plot area 350(292.64 sq.m.),4.0,4.0,3+,2.0,,sector 14,,,,,,moderately old,0,,3150.0,,0
house,,4.6,32258.0,1426.0,Built Up area: 1426 (132.48 sq.m.)Carpet area: 1069 sq.ft. (99.31 sq.m.),2.0,2.0,2,2.0,East,sector 31,,,,,,,0,,1426.001472,1069,0
house,Tulip Yellow,2.95,16389.0,1800.0,Plot area 200(167.23 sq.m.),4.0,3.0,2,3.0,North,sector 69,0.0,0.0,1.0,1.0,0.0,new,2,,1800.0,,120
house,HUDA Housing Board Colony4.1 ★,4.6,31506.0,1460.0,Plot area 1460(135.64 sq.m.),6.0,4.0,3+,3.0,East,sector 31,0.0,0.0,0.0,1.0,0.0,old,0,,1460.0,,8
house,,5.0,232.0,215517.0,Plot area 2(1011.71 sq.m.),6.0,5.0,3+,2.0,,sector 50,1.0,1.0,1.0,1.0,0.0,new,1,,2.0,,0
house,,3.5,218750.0,160.0,Built Up area: 160 (14.86 sq.m.),6.0,6.0,3+,3.0,North-West,sector 17,,,,,,,0,,159.951554,,0
house,,2.25,6367.0,3534.0,Built Up area: 3534 (328.32 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,5.0,3+,10.0,South,sector 103,,,,,,,0,,3534.003648,2000,0
house,,1.5,8642.0,1736.0,Carpet area: 180 (150.5 sq.m.),5.0,3.0,2,2.0,,sector 67,,,,,,new,0,,,1619.96695,0
house,,0.55,6707.0,820.0,Plot area 820(76.18 sq.m.)Built Up area: 810 sq.ft. (75.25 sq.m.)Carpet area: 715 sq.ft. (66.43 sq.m.),2.0,2.0,1,2.0,South-East,sector 3,,,,,,moderately old,0,,820.0,715,0
house,HUDA Plot Sector 38,4.3,245398.0,175.0,Plot area 163(15.14 sq.m.)Built Up area: 145 sq.ft. (13.47 sq.m.),13.0,13.0,3+,5.0,North-West,sector 38,,,,,,relatively new,2,,163.0,,14
house,,3.0,11904.0,2520.0,Carpet area: 2520 (234.12 sq.m.),4.0,4.0,No,3.0,North-East,sector 67,,,,,,,0,,,2520.044268,0
house,Ardee City3.8 ★,5.5,183333.0,300.0,Plot area 300(27.87 sq.m.),9.0,9.0,3+,3.0,South,sector 52,0.0,1.0,1.0,1.0,0.0,moderately old,1,,300.0,,26
